Depth (ft),Core,Mg,Al,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,W,Hg,Pb,Bi,Th,U,LE
6869,1,1.75,5.92,32.80,ND,1.0096,2.2160,1.43,0.3935,0.0763,0.0449,0.0227,2.9969,ND,0.0074,0.0041,0.0168,0.0011,0.0025,0.0111,0.0165,0.0014,0.0160,0.0021,0,ND,ND,ND,ND,ND,ND,0.0020,ND,ND,0,51.25
6869,1,1.97,5.91,32.95,ND,1.2455,2.1759,1.39,0.3277,0.0523,0.0290,0.0196,3.3321,ND,0.0076,0.0041,0.0118,0.0020,0.0030,0.0104,0.0139,0.0011,0.0152,0.0017,ND,ND,ND,ND,ND,ND,ND,0,ND,0.0010,0,50.53
6870,1,1.93,6.47,33.72,ND,1.0453,2.4114,0.59,0.3587,0.0520,0.0349,0.0190,3.3650,ND,0.0082,0.0045,0.0078,0.0012,0.0028,0.0118,0.0128,0.0008,0.0145,0.0022,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,49.93
6870,1,1.88,6.03,32.06,0.5574,1.5713,2.2113,1.45,0.3804,0.0456,0.0284,0.0173,3.1778,ND,0.0051,0.0035,0.0063,0.0011,0.0021,0.0103,0.0195,0.0011,0.0184,0.0022,0,ND,ND,ND,ND,ND,ND,0,ND,0,ND,50.53
6871,1,1.73,4.91,35.75,ND,1.3544,1.7243,1.53,0.3084,0.0364,0.0119,0.0174,2.4846,ND,0.0032,0.0024,0.0087,0.0007,0.0011,0.0079,0.0205,0.0009,0.0149,0.0017,0,ND,ND,ND,ND,0,ND,0,ND,ND,ND,50.08
6871,1,1.55,5.53,34.16,ND,1.1805,1.9171,1.72,0.3172,0.0392,0.0187,0.0206,2.8748,ND,0.0045,0.0037,0.0038,0.0009,0.0013,0.0091,0.0200,0.0011,0.0178,0.0019,ND,ND,ND,ND,ND,0,ND,0,ND,ND,ND,50.60
6872,1,1.73,6.41,32.65,ND,1.9580,2.4496,0.71,0.3874,0.0391,0.0238,0.0200,3.6688,ND,0.0083,0.0049,0.4546,0.0012,0.0023,0.0120,0.0163,0.0014,0.0186,0.0023,0,ND,0,ND,ND,ND,ND,0,ND,ND,ND,49.43
6872,1,2.23,5.91,30.70,0.2212,1.1195,1.8987,4.34,0.3638,0.0667,0.0297,0.0219,3.1138,ND,0.0082,0.0039,0.0102,0.0011,0.0025,0.0093,0.0254,0.0035,0.0169,0.0019,0.0010,ND,ND,ND,ND,ND,0,0,ND,0,0,49.89
6873,1,1.56,4.98,33.53,ND,1.4251,1.6610,2.61,0.3379,0.0344,0.0204,0.0219,2.7333,ND,0.0047,0.0037,0.0043,0.0009,0.0015,0.0074,0.0209,0.0014,0.0182,0.0016,ND,ND,ND,ND,ND,0,ND,0,ND,ND,ND,51.02
6873,1,1.89,6.50,31.88,ND,1.4391,2.3222,1.93,0.4170,0.0369,0.0209,0.0236,3.5945,ND,0.0060,0.0036,0.0041,0.0011,0.0013,0.0106,0.0182,0.0015,0.0210,0.0027,ND,ND,ND,ND,ND,0,ND,0,ND,0,ND,49.86
6874,1,1.91,4.98,34.90,ND,1.1428,1.6440,2.66,0.3250,0.0280,0.0109,0.0203,2.5734,ND,0.0027,0.0022,0.0023,0.0008,0.0006,0.0075,0.0239,0.0015,0.0188,0.0019,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,49.74
6874,1,1.67,4.67,35.09,ND,1.6093,1.5231,2.11,0.3244,0.0253,0.0121,0.0173,2.7240,ND,0.0036,0.0024,0.0023,0.0010,0.0008,0.0072,0.0208,0.0016,0.0192,0.0016,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,50.17
6875,1,1.62,4.12,37.20,ND,0.9586,1.3411,2.12,0.2989,0.0292,0.0084,0.0144,1.9768,ND,ND,0.0019,0.0016,0.0007,0.0004,0.0057,0.0196,0.0014,0.0176,0.0013,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,50.27
6875,1,1.93,5.84,33.91,ND,1.3756,1.8352,1.78,0.3490,0.0297,0.0100,0.0164,2.5851,ND,0.0020,0.0032,0.0288,0.0007,0.0006,0.0085,0.0233,0.0015,0.0251,0.0017,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,50.24
6876,1,1.59,4.59,34.27,ND,1.1386,1.4061,3.39,0.3103,0.0284,0.0146,0.0201,2.5100,ND,0.0028,0.0020,0.0021,0.0011,0.0008,0.0067,0.0243,0.0014,0.0173,0.0014,ND,ND,ND,ND,ND,ND,0,0.0010,ND,0,ND,50.68
6876,1,1.66,4.89,23.93,0.1840,1.9683,1.4383,12.85,0.3183,0.0622,0.0249,0.0286,3.3693,ND,0.0054,0.0035,0.0027,0.0011,0.0016,0.0071,0.0774,0.0045,0.0153,0.0015,0,ND,ND,ND,ND,ND,0,0,ND,0,ND,49.16
